f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
4284.615234,4198.461426,4218.461426,4186.666504,4175.384277,4176.410156,4164.615234,4205.641113,4191.794922,4192.307617,4165.641113,4168.717773,4252.307617,4178.461426
4272.307617,4197.94873,4189.743652,4187.179199,4180.512695,4191.281738,4168.205078,4205.641113,4191.281738,4192.307617,4157.436035,4168.205078,4249.230469,4176.922852
4278.974121,4186.153809,4199.487305,4185.12793,4191.794922,4199.487305,4175.384277,4203.07666,4194.871582,4192.820313,4164.102539,4182.563965,4252.307617,4171.281738
4272.820313,4179.487305,4158.974121,4184.615234,4174.358887,4201.025391,4162.563965,4201.538574,4197.94873,4191.794922,4171.281738,4178.461426,4249.743652,4170.256348
4272.820313,4182.05127,4198.974121,4186.666504,4187.692383,4195.897461,4163.589844,4198.974121,4188.205078,4191.794922,4168.717773,4176.922852,4240,4172.307617
4285.12793,4197.436035,4222.05127,4187.179199,4197.436035,4189.743652,4162.05127,4195.384277,4177.94873,4191.281738,4167.692383,4180.512695,4242.05127,4171.281738
4292.820313,4209.230469,4188.205078,4189.743652,4190.769043,4195.897461,4163.07666,4200.512695,4186.153809,4191.281738,4171.281738,4180.512695,4247.179199,4171.281738
4290.769043,4197.94873,4191.281738,4194.871582,4201.025391,4202.563965,4180.512695,4206.666504,4201.025391,4192.820313,4171.281738,4190.769043,4242.05127,4172.307617
4280.512695,4188.717773,4165.12793,4208.717773,4190.769043,4195.384277,4169.743652,4200,4200.512695,4190.769043,4168.205078,4176.410156,4244.615234,4169.230469
4287.179199,4197.436035,4219.487305,4220.512695,4199.487305,4189.743652,4168.717773,4200,4191.794922,4193.333008,4165.12793,4169.230469,4253.846191,4169.743652
4292.820313,4203.07666,4225.641113,4222.05127,4201.538574,4194.358887,4179.487305,4215.897461,4200.512695,4194.358887,4166.153809,4174.871582,4261.538574,4171.281738
4284.615234,4193.846191,4161.538574,4221.538574,4175.897461,4193.846191,4175.897461,4214.871582,4212.820313,4191.794922,4167.692383,4171.281738,4261.538574,4169.743652
4281.538574,4183.589844,4177.436035,4228.205078,4175.384277,4196.410156,4181.538574,4200.512695,4206.666504,4194.871582,4168.205078,4187.179199,4257.94873,4176.410156
4274.871582,4187.179199,4170.769043,4243.07666,4183.589844,4205.641113,4179.487305,4205.12793,4198.974121,4194.871582,4169.230469,4184.102539,4261.538574,4186.153809
4279.487305,4187.692383,4204.102539,4246.153809,4205.641113,4199.487305,4182.05127,4218.461426,4191.794922,4190.769043,4167.692383,4177.94873,4258.461426,4189.230469
4288.205078,4189.743652,4201.538574,4239.487305,4198.461426,4190.256348,4178.974121,4218.974121,4190.769043,4189.743652,4168.205078,4188.205078,4257.436035,4194.358887
4290.256348,4198.461426,4178.461426,4249.230469,4171.281738,4200,4166.666504,4211.281738,4196.922852,4193.846191,4173.333008,4193.333008,4270.769043,4204.615234
4301.025391,4205.12793,4226.666504,4263.07666,4177.94873,4213.846191,4178.461426,4209.743652,4193.846191,4195.897461,4172.820313,4207.692383,4273.333008,4206.153809
4294.871582,4207.692383,4169.230469,4259.487305,4183.07666,4204.615234,4178.974121,4216.922852,4192.307617,4190.256348,4166.666504,4196.922852,4260,4190.769043
4288.205078,4202.563965,4173.333008,4245.641113,4195.897461,4184.615234,4178.974121,4222.563965,4198.461426,4189.743652,4166.666504,4187.179199,4251.794922,4183.589844
4295.384277,4198.461426,4221.025391,4249.743652,4194.358887,4184.102539,4183.07666,4223.07666,4199.487305,4194.358887,4171.794922,4191.281738,4260,4194.358887
4295.384277,4197.94873,4196.410156,4266.153809,4181.538574,4197.436035,4179.487305,4220.512695,4202.563965,4195.384277,4172.307617,4176.410156,4269.743652,4197.94873
4290.256348,4195.384277,4236.410156,4269.230469,4197.94873,4201.025391,4187.179199,4219.487305,4206.153809,4193.846191,4169.230469,4182.05127,4266.153809,4187.692383
4271.794922,4193.846191,4205.12793,4255.897461,4186.153809,4195.897461,4180,4219.487305,4206.666504,4191.281738,4168.717773,4177.436035,4265.641113,4177.436035
4272.307617,4187.692383,4184.102539,4240,4178.461426,4197.436035,4177.94873,4215.897461,4207.179199,4190.256348,4168.717773,4168.205078,4270.769043,4174.871582
4284.615234,4188.717773,4212.820313,4248.205078,4194.871582,4207.179199,4184.102539,4206.666504,4207.179199,4190.769043,4170.256348,4180.512695,4274.871582,4182.563965
4272.307617,4197.436035,4184.615234,4265.641113,4194.871582,4217.436035,4175.384277,4202.05127,4203.589844,4191.794922,4171.281738,4175.384277,4280,4189.743652
4266.153809,4190.256348,4221.025391,4258.461426,4201.025391,4216.922852,4178.974121,4202.05127,4190.256348,4192.307617,4162.563965,4178.461426,4268.205078,4176.922852
4272.307617,4188.717773,4192.820313,4245.12793,4184.615234,4205.641113,4170.256348,4200,4184.102539,4190.256348,4158.461426,4178.461426,4255.897461,4159.487305
4286.666504,4205.641113,4164.102539,4253.333008,4177.436035,4200,4166.153809,4206.666504,4190.769043,4191.794922,4167.179199,4174.358887,4267.179199,4168.205078
4288.205078,4209.230469,4215.384277,4272.820313,4191.794922,4208.717773,4181.025391,4218.974121,4198.461426,4192.820313,4171.794922,4184.102539,4271.281738,4184.102539
4273.846191,4197.436035,4193.846191,4278.974121,4183.589844,4209.230469,4178.974121,4215.897461,4204.102539,4190.256348,4168.205078,4173.846191,4256.922852,4181.538574
4279.487305,4186.666504,4181.025391,4267.692383,4195.384277,4191.281738,4185.12793,4207.692383,4209.743652,4190.769043,4165.641113,4174.871582,4255.384277,4172.307617
4280,4187.179199,4154.358887,4268.205078,4193.846191,4188.717773,4182.563965,4204.615234,4212.820313,4192.820313,4161.025391,4171.281738,4275.897461,4174.358887
4273.846191,4193.333008,4189.230469,4285.641113,4187.179199,4207.692383,4177.94873,4198.461426,4205.641113,4193.333008,4156.922852,4164.615234,4278.974121,4183.07666
4280.512695,4190.256348,4238.461426,4291.794922,4197.436035,4216.922852,4189.230469,4200,4202.05127,4194.358887,4167.692383,4183.589844,4264.615234,4190.256348
4278.974121,4185.12793,4179.487305,4283.07666,4190.769043,4213.333008,4182.05127,4208.717773,4207.179199,4192.307617,4172.820313,4180.512695,4270.256348,4191.794922
4272.820313,4186.153809,4196.922852,4271.794922,4190.769043,4207.179199,4177.94873,4202.563965,4195.384277,4192.307617,4158.974121,4179.487305,4275.897461,4184.102539
4263.07666,4188.717773,4177.436035,4270.256348,4175.384277,4203.589844,4168.205078,4189.230469,4177.94873,4192.820313,4148.717773,4179.487305,4273.333008,4171.281738
4259.487305,4181.538574,4164.102539,4272.820313,4181.538574,4205.12793,4164.615234,4190.769043,4174.871582,4192.820313,4146.153809,4164.102539,4266.153809,4166.153809
4266.153809,4175.384277,4208.717773,4273.333008,4208.717773,4207.692383,4180.512695,4204.615234,4187.179199,4195.384277,4147.179199,4174.358887,4255.384277,4170.256348
4256.922852,4176.922852,4161.025391,4273.333008,4186.153809,4204.102539,4170.769043,4209.230469,4199.487305,4194.871582,4154.358887,4174.358887,4256.410156,4172.820313
4256.922852,4176.922852,4201.025391,4270.769043,4181.025391,4202.563965,4172.307617,4206.666504,4192.820313,4192.820313,4157.436035,4171.281738,4263.589844,4173.846191
4266.153809,4175.384277,4230.256348,4271.794922,4189.230469,4200.512695,4181.025391,4210.256348,4187.692383,4193.333008,4153.846191,4170.256348,4263.589844,4173.333008
4263.07666,4164.615234,4200.512695,4277.436035,4186.666504,4191.281738,4177.436035,4217.94873,4193.846191,4194.358887,4151.794922,4165.641113,4252.307617,4165.641113
4260,4154.871582,4212.820313,4282.05127,4191.794922,4197.436035,4184.102539,4223.589844,4195.384277,4193.846191,4152.820313,4174.358887,4251.794922,4158.974121
4252.820313,4168.205078,4161.025391,4287.179199,4181.538574,4211.281738,4177.436035,4213.846191,4195.897461,4192.820313,4152.307617,4158.974121,4270.256348,4165.12793
4256.922852,4176.922852,4201.025391,4290.769043,4196.410156,4214.871582,4183.589844,4203.07666,4194.871582,4194.358887,4155.897461,4152.820313,4275.384277,4174.871582
4251.281738,4164.102539,4241.538574,4280,4199.487305,4212.820313,4184.615234,4205.12793,4191.794922,4194.871582,4151.794922,4161.025391,4260,4167.179199
4233.846191,4148.717773,4174.871582,4267.692383,4180,4211.794922,4170.769043,4205.12793,4192.307617,4191.794922,4138.974121,4148.717773,4244.615234,4152.820313
4238.974121,4145.641113,4153.333008,4280.512695,4195.897461,4216.922852,4181.025391,4198.461426,4190.769043,4190.769043,4136.922852,4160,4243.589844,4153.333008
4249.743652,4164.615234,4137.94873,4300,4198.461426,4218.974121,4181.025391,4202.563965,4185.12793,4192.820313,4150.769043,4171.281738,4266.666504,4168.717773
4273.846191,4188.717773,4209.743652,4305.12793,4192.820313,4215.897461,4180.512695,4217.436035,4187.179199,4194.871582,4168.205078,4183.07666,4284.615234,4188.717773
4287.179199,4188.205078,4245.12793,4312.307617,4192.307617,4216.922852,4185.12793,4221.025391,4191.794922,4193.333008,4169.743652,4186.153809,4274.871582,4191.794922
4270.769043,4170.769043,4179.487305,4321.025391,4188.717773,4218.974121,4181.538574,4214.871582,4191.794922,4191.281738,4157.94873,4162.563965,4267.179199,4175.897461
4267.179199,4169.230469,4200.512695,4320,4190.769043,4214.358887,4184.615234,4206.153809,4183.07666,4191.794922,4153.846191,4168.717773,4277.436035,4166.666504
4273.846191,4192.307617,4194.871582,4329.230469,4178.461426,4215.897461,4175.384277,4200,4184.615234,4192.307617,4159.487305,4174.358887,4296.922852,4177.94873
4286.666504,4194.358887,4212.820313,4337.436035,4198.461426,4222.563965,4181.538574,4204.615234,4190.769043,4194.358887,4161.538574,4173.846191,4296.922852,4190.769043
4284.615234,4170.256348,4220.512695,4324.102539,4209.230469,4217.436035,4189.743652,4207.692383,4186.666504,4191.794922,4156.410156,4175.384277,4280,4188.717773
4264.615234,4175.897461,4171.794922,4313.846191,4185.12793,4207.179199,4175.384277,4202.05127,4185.641113,4187.179199,4151.281738,4157.436035,4276.410156,4178.974121
4262.563965,4190.256348,4216.922852,4317.436035,4196.922852,4196.410156,4181.538574,4198.974121,4183.07666,4191.281738,4152.307617,4168.205078,4280.512695,4171.794922
4257.436035,4174.358887,4195.897461,4316.410156,4195.897461,4195.897461,4175.897461,4199.487305,4176.410156,4193.846191,4155.384277,4173.846191,4280,4167.692383
4253.333008,4158.461426,4183.07666,4306.153809,4193.333008,4206.666504,4169.743652,4200.512695,4167.179199,4191.794922,4147.179199,4157.94873,4270.769043,4168.205078
4261.025391,4165.641113,4201.538574,4307.179199,4193.333008,4207.692383,4177.94873,4201.538574,4165.12793,4190.769043,4142.05127,4159.487305,4263.589844,4168.717773
4258.974121,4177.436035,4176.410156,4315.897461,4176.410156,4201.025391,4171.281738,4202.05127,4175.384277,4191.794922,4152.820313,4162.05127,4274.358887,4166.666504
4260.512695,4172.820313,4255.384277,4313.333008,4188.205078,4208.717773,4177.436035,4203.589844,4178.974121,4193.333008,4157.436035,4176.410156,4281.538574,4166.153809
4252.307617,4164.102539,4234.871582,4302.05127,4178.974121,4206.666504,4169.743652,4202.563965,4167.179199,4191.794922,4147.692383,4167.179199,4275.384277,4158.974121
4248.717773,4165.641113,4174.358887,4301.538574,4169.743652,4191.281738,4164.102539,4197.94873,4153.846191,4190.256348,4141.538574,4153.333008,4274.871582,4155.384277
4257.436035,4173.333008,4203.589844,4312.307617,4186.666504,4196.410156,4175.897461,4193.333008,4164.102539,4192.307617,4144.102539,4165.641113,4280,4159.487305
4248.717773,4169.230469,4188.717773,4303.589844,4188.205078,4194.358887,4166.153809,4185.12793,4169.230469,4191.281738,4138.974121,4150.769043,4272.307617,4143.589844
4246.153809,4162.563965,4217.436035,4283.07666,4202.563965,4186.153809,4173.846191,4183.07666,4155.897461,4189.743652,4129.743652,4145.641113,4257.94873,4129.743652
4246.666504,4169.230469,4193.846191,4288.205078,4190.769043,4196.922852,4179.487305,4188.717773,4161.025391,4191.281738,4138.974121,4154.358887,4264.615234,4150.769043
4244.102539,4162.05127,4175.384277,4292.820313,4173.846191,4203.07666,4172.820313,4187.692383,4169.230469,4193.333008,4153.333008,4148.717773,4269.743652,4170.256348
4251.281738,4162.05127,4208.205078,4280.512695,4189.743652,4203.07666,4175.897461,4182.05127,4156.410156,4192.307617,4149.743652,4155.384277,4262.563965,4163.589844
4248.717773,4182.05127,4156.410156,4267.692383,4194.358887,4205.12793,4170.256348,4181.538574,4147.179199,4190.769043,4138.461426,4155.897461,4260,4156.410156
4250.256348,4178.974121,4183.07666,4248.205078,4201.538574,4194.871582,4172.307617,4185.12793,4154.358887,4193.846191,4137.94873,4162.563965,4258.461426,4159.487305
4250.256348,4168.717773,4196.410156,4232.307617,4191.794922,4185.641113,4165.641113,4187.179199,4158.974121,4194.358887,4143.589844,4160.512695,4254.871582,4151.794922
4247.179199,4171.794922,4184.102539,4228.205078,4184.102539,4194.871582,4160,4182.05127,4147.692383,4191.794922,4146.153809,4147.179199,4253.846191,4144.615234
4256.410156,4167.692383,4215.897461,4222.05127,4191.281738,4203.589844,4171.794922,4186.153809,4143.589844,4191.281738,4152.307617,4162.05127,4258.974121,4156.410156
4262.563965,4168.717773,4165.641113,4216.410156,4182.05127,4198.461426,4168.205078,4196.922852,4156.922852,4190.769043,4158.974121,4161.538574,4263.589844,4173.846191
4265.641113,4176.922852,4188.717773,4208.205078,4198.974121,4178.974121,4171.281738,4188.717773,4151.281738,4192.307617,4153.333008,4165.641113,4254.871582,4170.769043
4256.922852,4180.512695,4206.666504,4198.974121,4192.820313,4170.256348,4166.666504,4173.333008,4137.436035,4193.333008,4146.153809,4163.07666,4253.333008,4154.358887
4251.794922,4178.461426,4193.333008,4204.102539,4169.230469,4195.384277,4162.563965,4180,4152.307617,4191.281738,4150.256348,4144.615234,4260.512695,4152.307617
4256.922852,4175.384277,4227.692383,4210.256348,4186.666504,4218.461426,4185.641113,4191.794922,4171.794922,4191.281738,4155.384277,4159.487305,4251.794922,4156.922852
4240,4168.717773,4167.692383,4191.794922,4191.794922,4206.666504,4177.436035,4180.512695,4164.102539,4191.794922,4150.769043,4153.846191,4246.666504,4152.307617
4237.436035,4162.563965,4180.512695,4176.410156,4198.974121,4187.692383,4165.12793,4166.666504,4144.102539,4192.307617,4149.743652,4151.794922,4259.487305,4152.820313
4250.769043,4173.333008,4215.384277,4187.179199,4193.846191,4191.794922,4168.205078,4174.871582,4141.025391,4187.692383,4154.358887,4170.769043,4265.12793,4158.461426
4247.179199,4183.07666,4191.794922,4191.794922,4178.461426,4202.05127,4165.641113,4184.615234,4147.179199,4185.641113,4153.846191,4158.461426,4247.179199,4152.307617
4236.410156,4171.794922,4210.256348,4176.922852,4188.717773,4191.794922,4170.769043,4181.538574,4147.692383,4191.281738,4151.794922,4152.820313,4229.743652,4138.974121
4224.102539,4170.769043,4151.281738,4175.897461,4181.538574,4178.974121,4165.641113,4180,4156.922852,4192.820313,4153.333008,4148.205078,4242.563965,4134.358887
4236.410156,4186.666504,4180,4188.205078,4193.333008,4186.153809,4173.846191,4184.615234,4161.538574,4189.743652,4154.358887,4152.307617,4258.461426,4140.512695
4249.743652,4193.846191,4238.461426,4190.769043,4201.538574,4193.846191,4178.461426,4178.461426,4148.205078,4190.769043,4155.384277,4162.563965,4253.846191,4148.205078
4239.487305,4182.05127,4187.692383,4183.589844,4183.589844,4182.05127,4165.641113,4170.769043,4143.589844,4191.794922,4153.333008,4144.615234,4252.820313,4147.692383
4234.871582,4164.615234,4189.230469,4178.461426,4191.281738,4183.589844,4174.358887,4171.794922,4146.153809,4193.333008,4146.153809,4145.641113,4251.794922,4140.512695
4226.666504,4164.615234,4165.641113,4169.230469,4184.615234,4196.410156,4171.281738,4168.717773,4142.05127,4192.820313,4144.615234,4150.769043,4248.717773,4135.897461
4224.102539,4170.769043,4196.410156,4146.153809,4188.205078,4190.256348,4169.743652,4168.205078,4136.410156,4192.307617,4147.179199,4153.846191,4246.153809,4140.512695
4229.743652,4170.769043,4221.538574,4133.846191,4202.563965,4184.615234,4172.820313,4174.871582,4138.461426,4193.333008,4148.717773,4163.589844,4244.615234,4150.769043
4231.794922,4180.512695,4167.179199,4150.256348,4192.820313,4190.256348,4162.05127,4176.410156,4142.563965,4192.820313,4153.846191,4152.307617,4250.769043,4157.94873
4249.230469,4192.820313,4214.358887,4169.230469,4190.769043,4189.743652,4171.794922,4169.230469,4134.358887,4193.846191,4152.820313,4161.025391,4249.743652,4154.358887
4248.205078,4194.358887,4202.563965,4168.717773,4176.410156,4183.07666,4169.743652,4164.615234,4122.563965,4192.307617,4142.05127,4158.974121,4238.461426,4136.922852
4228.205078,4184.102539,4186.666504,4154.358887,4187.179199,4177.94873,4164.102539,4170.769043,4118.974121,4191.281738,4133.846191,4145.12793,4228.205078,4123.589844
4227.692383,4183.589844,4209.230469,4158.974121,4205.641113,4183.589844,4173.333008,4183.589844,4134.871582,4193.846191,4138.461426,4157.436035,4234.358887,4128.717773
4236.410156,4197.436035,4156.922852,4184.615234,4189.743652,4198.974121,4171.794922,4191.281738,4155.384277,4193.333008,4146.666504,4154.871582,4249.743652,4141.025391
4240,4196.410156,4194.358887,4183.589844,4197.436035,4196.410156,4176.410156,4182.563965,4148.717773,4191.281738,4146.666504,4154.358887,4249.743652,4141.538574
4223.589844,4177.436035,4220,4153.846191,4191.794922,4176.922852,4164.615234,4166.153809,4136.410156,4190.256348,4136.410156,4146.666504,4247.179199,4131.281738
4221.538574,4169.743652,4202.563965,4144.102539,4186.153809,4178.974121,4161.538574,4164.102539,4135.384277,4192.820313,4134.871582,4146.153809,4251.281738,4139.487305
4239.487305,4176.410156,4174.871582,4161.538574,4198.974121,4189.743652,4176.922852,4170.769043,4134.871582,4193.333008,4144.102539,4168.205078,4253.333008,4157.436035
4234.358887,4185.12793,4142.563965,4162.563965,4184.615234,4185.12793,4163.07666,4168.205078,4134.358887,4189.230469,4141.538574,4154.871582,4252.307617,4151.794922
